field_id,date_of_image,latitude,longitude,NDVI,GNDVI,NDWI,SAVI,soil_moisture,temperature,rainfall,crop_type,N,P,K,pH,humidity,yield
Field_1,2023-01-01,22.62523109,88.49792521,0.06018996,0.08480090,-0.08480090,0.09027956,46.11935326,9.88422874,1.66235420,Rice,87.00470288,51.73195780,49.19516320,6.48656285,90.78537097,40.21803063
Field_1,2023-01-16,22.62523109,88.49792521,0.21395714,0.22200857,-0.22200857,0.32089553,37.54252546,13.96707263,8.44630219,Rice,77.10204645,38.37322862,32.72409842,6.76649895,81.53650363,30.87033790
Field_1,2023-01-31,22.62523109,88.49792521,0.40330636,0.43120427,-0.43120427,0.60483703,24.92627906,13.59014742,3.86283324,Rice,69.60814874,47.93917934,47.72830538,7.32271255,98.30786476,45.33005008
Field_1,2023-02-15,22.62523109,88.49792521,0.41818653,0.44413212,-0.44413212,0.62714370,24.11415710,12.34335542,16.62354196,Rice,74.42387468,34.07903607,37.80153310,7.02390750,89.33764294,49.71178105
Field_1,2023-02-03,22.62523109,88.49792521,0.37513765,0.38798500,-0.38798500,0.56259074,27.42092711,11.00770651,9.49621011,Rice,83.91453295,56.13056722,42.11913951,7.06015317,82.74037350,34.54264576
Field_1,2023-03-17,22.62523109,88.49792521,0.45044181,0.41448796,-0.41448796,0.67555891,25.29849811,29.05703078,11.03814476,Rice,76.53220432,40.54525987,32.68185803,7.16683884,87.85597981,48.32423291
Field_1,2023-01-04,22.62523109,88.49792521,0.51142290,0.46723758,-0.46723758,0.76701610,21.98207972,14.59747283,17.52762933,Rice,68.86618073,51.11069034,65.60000000,7.18219145,82.10021510,53.44668506
Field_1,2023-04-16,22.62523109,88.49792521,0.47837493,0.47081865,-0.47081865,0.71745566,22.13672953,26.89658942,16.57368075,Rice,70.40815549,39.48870570,52.89229065,7.06954824,78.95957016,51.58966574
Field_1,2023-01-05,22.62523109,88.49792521,0.49914531,0.45527862,-0.45527862,0.74861944,22.71814608,11.23455428,16.86155872,Rice,67.12452204,44.57853990,50.74751438,7.08620402,89.55724173,52.78942541
Field_1,2023-05-31,22.62523109,88.49792521,0.49526138,0.46718097,-0.46718097,0.74279198,22.15002624,28.76547304,10.38336348,Rice,72.39172098,41.38739149,36.71360587,7.02726471,92.26644675,38.43404016
Field_1,2023-10-13,22.62523109,88.49792521,0.44081279,0.36831213,-0.36831213,0.66112312,27.75477796,13.70434524,16.87002572,Rice,64.35447723,36.54719254,48.20547085,6.76078375,83.43640174,51.90264653
Field_1,2023-10-28,22.62523109,88.49792521,0.59751417,0.53474666,-0.53474666,0.89611568,17.65553208,29.52973786,17.38086801,Rice,83.63777771,50.71877949,30.38637637,7.40986395,76.05873076,55.62711785
